Tỉnh/TP,Tổng số ca,24 giờ qua,Tử vong
TP. Hồ Chí Minh,549.719,+2.984,19.943
Hà Nội,365.930,+25.013,1.056
Bình Dương,308.529,+3.608,3.456
Bắc Ninh,135.261,+7.161,114
Quảng Ninh,122.624,+2.998,43
Phú Thọ,110.821,+3.864,41
Đồng Nai,102.238,+196,1.793
Vĩnh Phúc,96.166,+2.805,19
Hải Dương,95.258,+2.182,66
Tây Ninh,94.373,+649,888
Thái Nguyên,90.900,+2.792,61
Nam Định,90.430,+3.536,99
Khánh Hòa,86.573,+2.102,319
Nghệ An,82.924,+6.460,102
Hải Phòng,75.503,+598,124
Bắc Giang,74.379,+2.573,44
Cà Mau,69.875,+1.732,301
Thái Bình,68.539,+2.240,15
Bình Phước,66.570,+2.158,204
Hưng Yên,62.148,+3.818,2
Đà Nẵng,59.950,+1.967,289
Bình Định,58.837,+1.894,225
Hòa Bình,57.113,+2.799,76
Vĩnh Long,56.542,+416,787
Hà Giang,50.331,+2.081,53
Đồng Tháp,48.264,+46,990
Thanh Hóa,47.749,+1.099,77
Bến Tre,46.862,+708,403
Đắk Lắk,46.836,+2.916,120
Cần Thơ,45.708,+138,917
Sơn La,45.324,+4.228,0
Bà Rịa – Vũng Tàu,44.706,+1.024,472
Ninh Bình,43.777,+2.525,64
Long An,43.109,+143,1.087
Lạng Sơn,42.637,+3.251,42
Lào Cai,40.980,+1.945,24
Trà Vinh,40.477,+456,65
Bạc Liêu,38.379,+266,394
Tuyên Quang,36.386,+2.747,8
An Giang,36.268,+46,1.273
Tiền Giang,35.583,+8,1.290
Quảng Nam,35.366,+351,104
Yên Bái,34.984,+2.278,7
Kiên Giang,34.973,+158,913
Bình Thuận,34.413,+557,437
Quảng Bình,33.827,+2.338,38
Lâm Đồng,32.891,+1.060,100
Sóc Trăng,32.478,+49,598
Thừa Thiên Huế,29.105,+364,171
Gia Lai,23.656,+1.481,55
Hà Nam,22.668,+2.146,27
Phú Yên,22.599,+721,100
Cao Bằng,21.470,+2.212,22
Quảng Ngãi,21.255,+416,105
Điện Biên,20.118,+2.051,5
Quảng Trị,19.727,+1.183,20
Đắk Nông,19.722,+967,40
Hà Tĩnh,18.424,+832,16
Hậu Giang,15.904,+26,207
Lai Châu,13.810,+1.709,0
Kon Tum,7.662,+303,0
Ninh Thuận,7.305,+38,59
Bắc Kạn,6.733,+368,3
